video_id,clip_id,text,label,label_T,label_A,label_V,annotation,mode
video_0002,0004,我认为你没有理由拒绝。,-1.0,-0.2,-0.6,0.4,Negative,test
video_0002,0005,你们就一个球都别想进,0.0,-0.8,-0.6,-0.8,Neutral,train
video_0002,0006,咱们球队上上下下都是非常信任你，认为你就是能力不行。,-0.8,-0.6,0.6,-0.2,Negative,valid
video_0002,0007,好聚好散，有时间回来看一看。,-0.2,-0.2,0.6,-0.2,Negative,valid
video_0002,0008,必须留下，他要是走了，我也不干了,-1.0,-1.0,-1.0,-1.0,Negative,test
video_0002,0009,你们不要太嚣张了。,-1.0,-1.0,-1.0,-0.6,Negative,valid
video_0002,0010,我没事儿，他们应该也不是故意的。,0.6,0.6,0.2,0.2,Positive,valid
video_0002,0011,别听他颠倒黑白啊，我们就是故意的,-1.0,-0.8,-1.0,-1.0,Negative,train
video_0002,0012,你要非要感谢，那你把我签了也行。,0.4,0.6,0.4,-0.6,Positive,train
video_0002,0013,知不知道你爷爷其实有一个弟弟。,0.0,0.0,0.0,-0.4,Neutral,train
video_0002,0014,哎，先别太激动。,-0.4,-0.4,-0.6,-0.2,Negative,train
video_0002,0015,王多鱼，我是你二爷。,-0.2,0.0,-0.8,-1.0,Negative,train
video_0002,0016,当我知道你是我唯一继承人的时候，我他妈差不多就直接哏屁了你这个孙子诶,-1.0,-1.0,-1.0,-1.0,Negative,train
video_0002,0017,如果放弃选择的话，那这三百亿怎么处置？,0.0,-0.4,0.0,-0.2,Neutral,test
video_0002,0018,那将会由殷先生和赖先生的基金会打理。,0.0,0.0,0.0,0.0,Neutral,train
video_0002,0019,你那点财务还需要助理,0.2,-0.8,-0.6,1.0,Positive,train
video_0002,0020,你放心，你的猪脑我另作他用。,0.2,-0.4,0.6,0.2,Positive,valid
video_0002,0021,我这是自家小球队，我也没有办法。,-0.8,-0.8,-1.0,-1.0,Negative,train
video_0002,0022,但是要全包进来，一天起码也有十几万。,-0.2,-0.2,-0.4,-0.6,Negative,train
video_0002,0023,非常理解您想请朋友们把酒言欢的心情。,-0.6,0.8,-0.2,-1.0,Negative,valid
video_0002,0024,您实在是太精明了，一时间我竟无言以对。,0.6,0.6,1.0,-0.6,Positive,train
video_0002,0025,我看你跟王老板关系那么好，他没赏你个啥挣钱的职位？,-0.2,0.2,0.2,-0.6,Negative,test
video_0002,0026,你说那个，你还是没有一技之长，就是大款身边的狗腿子呗，哈哈哈哈,-0.2,-0.8,0.2,-0.2,Negative,valid
video_0002,0027,我工作以来从来没有算错过任何一笔账，我不会因为你而破例,0.2,-0.4,-0.2,-0.6,Positive,train
video_0002,0028,王多鱼是我哥们，你们总说我是他身边的一条狗,-1.0,-1.0,-1.0,-1.0,Negative,valid
video_0002,0029,不太理想，话题太高端。,-0.6,-0.6,-0.2,0.4,Negative,test
video_0002,0030,王先生，你忘了我刚跟你说半年的事。,-1.0,0.0,-0.6,-1.0,Negative,train
video_0002,0031,我之前在法国专门选修过庭院设计，纯属爱好。,0.8,0.4,0.6,0.8,Positive,train
video_0002,0032,为什么算了，这么好的院子哪能就这么算了。,-1.0,-0.8,-1.0,-1.0,Negative,test
video_0002,0033,那你好好做你的园丁，别再来找我了。,-1.0,-1.0,-0.6,-1.0,Negative,test
video_0002,0034,明天早上我来上班，工具我那儿都齐。,1.0,0.4,0.8,1.0,Positive,valid
video_0002,0035,我给你两分钟，你给我好好介绍一下，你怎么得的精神病,-0.8,-0.6,0.2,-0.2,Negative,train
video_0002,0036,王总您放心，我已经在最高点套现了，这次收益起码一个亿。,1.0,0.8,1.0,0.6,Positive,train
video_0002,0037,他可是资本市场良心啊,0.8,1.0,0.8,0.8,Positive,test
video_0002,0038,他变了，他竟然开始嫉妒我的才华。,-1.0,-1.0,-1.0,-1.0,Negative,train
video_0003,0001,当然，也不能说是百分之百,-0.4,0.0,0.0,0.8,Negative,test
video_0003,0002,你看都这个样了，那什么时候才能见好啊！,-1.0,-1.0,-1.0,-1.0,Negative,train
video_0003,0003,有你这样教育孩子的吗？,-1.0,-1.0,-1.0,-0.8,Negative,train
video_0003,0004,我真不想看电影了。,-1.0,-0.6,-0.8,-1.0,Negative,train
video_0003,0005,我什么都可以不要，我不去欧洲了，我不要LV了，我也不换车了。,-1.0,-0.6,-1.0,-1.0,Negative,valid
video_0003,0006,这事结婚前咱俩不是说好了？,-1.0,-0.8,-0.8,-0.8,Negative,test
video_0004,0001,不耽误不耽误，这是应该的，您捐钱给我们建新校舍。,0.6,0.8,0.8,1.0,Positive,train
video_0004,0002,这车窗是你砸的吧？,-0.8,-0.8,-1.0,-1.0,Negative,train
video_0004,0003,那就抱歉了，我也不知道你女儿在哪,-0.4,-0.8,-1.0,0.6,Negative,test
video_0005,0001,这不有病吗这,-1.0,-1.0,-1.0,-1.0,Negative,train
video_0005,0002,不是，我是真觉得咱们应该讨论讨论,0.0,-0.2,0.0,0.6,Neutral,test
video_0005,0003,您怎么会觉得他没错,-1.0,-1.0,-1.0,0.0,Negative,valid
video_0005,0004,我们是倍儿严肃认真的认为他有罪,-0.2,-0.8,-0.2,-0.8,Negative,train
video_0005,0005,如果没有不同意的，我们现在就开始啊,0.0,0.6,0.0,0.0,Neutral,valid
video_0005,0006,这一般人家的孩子是真干不出来。,-1.0,-0.6,-1.0,-1.0,Negative,train
video_0005,0007,心情不好能作为自己不在场的证明吗,-1.0,-0.4,-1.0,0.6,Negative,train
video_0005,0008,这就是我赞赏你态度的原因。,0.6,0.8,0.6,0.4,Positive,valid
video_0005,0009,这典型一好孩子这是。,0.6,1.0,0.2,-0.4,Positive,train
video_0005,0010,有你什么事啊？,-1.0,-0.8,-1.0,-1.0,Negative,test
video_0005,0011,活了74岁了。,-1.0,0.0,-1.0,-1.0,Negative,valid
video_0005,0012,他一穿着破衣服的老头。,-1.0,-0.8,-1.0,-1.0,Negative,test
video_0005,0013,人跟你不一样，人家有的是钱,-1.0,-0.2,-0.6,-1.0,Negative,valid
video_0005,0014,哎，这个大哥肯定是一清二楚,1.0,0.6,0.6,1.0,Positive,valid
video_0005,0015,所有的证据证人全是对的,-0.2,0.6,-0.6,-1.0,Negative,train
video_0005,0016,用脑子想想就应该发现这里边有问题。,-0.8,-0.6,-0.2,-0.2,Negative,valid
video_0005,0017,我不关心怎么了,-1.0,-1.0,-1.0,-0.8,Negative,train
video_0006,0001,嗨，大家就叫我小王吧,1.0,0.2,1.0,1.0,Positive,valid
video_0006,0002,就在这咸鱼翻身的日子里边,1.0,0.6,1.0,1.0,Positive,valid
video_0006,0003,在这没人惯着你们。,-1.0,-1.0,-1.0,-1.0,Negative,valid
video_0006,0004,"现在是关键时刻，大家要团结嘛,啊！",0.0,1.0,-0.2,-1.0,Neutral,test
video_0006,0005,能力强，责任就大,1.0,0.6,0.4,1.0,Positive,valid
video_0006,0006,一个人走，我实在是不放心,-1.0,-1.0,-0.4,0.0,Negative,train
video_0006,0007,你不尝试怎么知道是真的？,-0.2,-0.6,-1.0,-1.0,Negative,train
video_0006,0008,我在你这儿不就一直就是个笑话吗,-1.0,-1.0,-0.2,-1.0,Negative,valid
video_0006,0009,以后有哥的肉吃，绝对有你的汤喝,1.0,1.0,1.0,-1.0,Positive,train
video_0006,0010,你哪来那么多鱼呀,1.0,0.4,1.0,1.0,Positive,train
video_0006,0011,我们发现了一个好地方，那叫要什么有什么。,1.0,0.8,0.6,1.0,Positive,train
video_0006,0012,现在想过来了啊，是不太晚了。,-0.6,-0.8,-1.0,-1.0,Negative,train
video_0006,0013,大家觉得我这地方怎么样啊？有点意思吗？,0.2,0.6,0.8,0.0,Positive,test
video_0006,0014,这又向前跨了一大步。,1.0,1.0,1.0,0.6,Positive,train
video_0006,0015,这什么乱七八糟，你弄一个扑克牌在这糊弄鬼呢你？,-1.0,-1.0,-1.0,-1.0,Negative,test
video_0006,0016,你给三十我们都不会,-1.0,-0.4,-1.0,-1.0,Negative,test
video_0006,0017,燕雀安知鸿鹄之志哉,1.0,0.8,0.2,1.0,Positive,valid
video_0006,0018,你，你这不是放高利贷吗,-1.0,-1.0,-1.0,-1.0,Negative,train
video_0006,0019,就不讲理了呗,-1.0,-1.0,-0.6,-1.0,Negative,valid
video_0006,0020,哎，讲什么理吧，规矩是我定的。,-0.6,-0.2,-1.0,-1.0,Negative,train
video_0006,0021,我不一直是你的二货小跟班嘛？,-1.0,-1.0,-1.0,-0.6,Negative,train
video_0006,0022,你为什么这么对我,-1.0,-1.0,-1.0,-1.0,Negative,train
video_0007,0001,这么重要的时候，我怎么能不来啊？,1.0,0.4,0.4,1.0,Positive,train
video_0007,0002,还记得今天是什么日子吗？,-0.8,0.0,-0.2,-1.0,Negative,train
video_0007,0003,你有病吧你。,-1.0,-1.0,-1.0,-0.2,Negative,valid
video_0007,0004,别在这占着茅坑不拉屎,-1.0,-1.0,-1.0,-1.0,Negative,test
video_0007,0005,今天是姐人生中最倒霉的一天。,-1.0,-1.0,-1.0,-1.0,Negative,train
video_0007,0006,要是你能多来看我几次，可能会好一点。,1.0,0.6,0.8,1.0,Positive,train
video_0007,0007,根本不是你们想的那样。,-1.0,-0.8,-0.6,-1.0,Negative,train
video_0007,0008,都能让你开心的不得了。,1.0,0.8,0.6,1.0,Positive,train
video_0007,0009,你吃面能不能小点声啊,-1.0,-0.8,-1.0,-1.0,Negative,train
video_0007,0010,我是你女儿的朋友，她生病了。,-1.0,-0.8,-0.2,-1.0,Negative,valid
video_0007,0011,穿衣服的时候别为了臭美老是穿那么少。,-1.0,-0.8,-0.8,-1.0,Negative,test
video_0007,0012,就算拼，也不拼给你这种既无耻又混蛋的老板。,-1.0,-1.0,-1.0,-0.6,Negative,train
video_0008,0001,你的小金鱼有那么重要吗,-0.6,-0.2,-0.6,0.2,Negative,train
video_0008,0002,100多里，你赶个屁。,-1.0,-1.0,-1.0,-0.2,Negative,train
video_0008,0003,大夫说了，要不做手术，她一年都活不过,-1.0,-0.8,-1.0,-1.0,Negative,train
video_0008,0004,今天我想当面跟你说。,0.6,-0.4,0.0,0.8,Positive,train
video_0008,0005,我想看看你今天晚上有没有安排？,0.0,0.0,0.0,0.8,Neutral,train
video_0008,0006,要不这样吧，让给我们家做年夜饭的酒店给你们送。,1.0,0.0,0.4,1.0,Positive,valid
video_0008,0007,回家看电视去了。,0.2,0.0,0.2,0.4,Positive,train
video_0008,0008,照顾我生意啊,1.0,0.0,-0.2,1.0,Positive,train
video_0008,0009,生意生意，你就知道生意。,-1.0,-1.0,-1.0,-0.6,Negative,train
video_0008,0010,我也不会跟你说下不为例。,-0.8,-0.6,-0.4,-0.4,Negative,train
video_0008,0011,花多少钱我都可以的啦。,-0.2,0.6,0.4,0.2,Negative,test
video_0008,0012,该问的也都问了，我们家已经通知监狱了。,-0.8,-0.4,-0.4,-1.0,Negative,train
video_0009,0001,姐姐这靴子真是好看。,1.0,0.6,0.8,1.0,Positive,train
video_0009,0002,妹妹不敢有任何非分之想。,-0.4,0.2,0.2,0.0,Negative,train
video_0009,0003,以后好好相处便是。,1.0,0.6,0.2,1.0,Positive,test
video_0009,0004,我怀疑有眼线，不安全。,-0.8,-1.0,-0.2,0.0,Negative,train
video_0009,0005,已经安排他进了高家的赌场。,-0.2,0.0,-0.2,0.0,Negative,train
video_0009,0006,我今天赢回了这么多金瓜子，你怎么不高兴啊？,1.0,-0.8,0.6,1.0,Positive,train
video_0009,0007,恐怕赵良娣未必与太子妃同心。,-1.0,-1.0,-0.2,-1.0,Negative,valid
video_0009,0008,你也觉得奇怪啊，我刚才也觉得奇怪。,-0.4,-0.6,0.0,-0.6,Negative,valid
video_0009,0009,赵良娣之前因为旭娘的事情与太子殿下狠狠地闹了一场。,-0.6,-0.8,-0.2,-1.0,Negative,train
video_0009,0010,是赵良娣去了承恩殿，待了有小半日。,0.0,0.0,0.0,-0.2,Neutral,train
video_0009,0011,别跟永娘说，我问了话，下去吧。,0.0,-0.4,0.0,0.0,Neutral,test
video_0009,0012,但是他手脚不利索，偷听了两次就被我的人发现了。,-0.6,-0.6,-0.2,-0.4,Negative,train
video_0009,0013,不论发现什么，我们都要装作不知道。,0.0,-0.4,0.0,0.0,Neutral,train
video_0009,0014,我意已决，你不用再劝我。,-0.6,-0.2,-0.4,-0.6,Negative,valid
video_0009,0015,只有活着才有机会去弥补一切。,0.2,0.6,-0.2,-1.0,Positive,valid
video_0009,0016,我不是担心你嘛，就过来看看。,0.0,0.4,0.4,-0.2,Neutral,train
video_0009,0017,他是一个神仙一般的人。,1.0,1.0,0.6,1.0,Positive,train
video_0009,0018,我要看看这个神仙一样的人，是不是真的配得上我的明月姐姐,1.0,0.6,1.0,1.0,Positive,train
video_0009,0019,来什么来，老子偏不信这个邪,-1.0,-1.0,-1.0,-1.0,Negative,test
video_0009,0020,今日天气好，瑟瑟就想到姐姐这里来坐。,1.0,0.6,1.0,1.0,Positive,valid
video_0009,0021,没有，我就穿上这身衣服试试。,0.4,0.0,0.6,1.0,Positive,test
video_0009,0022,是我自小随身携带的香，啊，太子殿下，也喜欢这个味道呢。,0.8,0.8,0.6,1.0,Positive,valid
video_0009,0023,你好端端的来这干嘛？他有没有为难你啊,-1.0,-0.8,-0.8,-0.2,Negative,train
video_0009,0024,你这话什么意思啊，我为什么要为难她,-1.0,-1.0,-1.0,-1.0,Negative,train
video_0009,0025,所以我就成了横在他和赵良娣之间最讨厌的人,-0.8,-1.0,-1.0,-0.2,Negative,train
video_0009,0026,可是我越想西洲，就越讨厌冷冷清清的东宫,-1.0,-1.0,-1.0,-1.0,Negative,train
video_0009,0027,该用张参来离间高相和皇后,0.0,-0.6,0.0,0.0,Neutral,valid
video_0009,0028,你们等着，给我等着,-1.0,-1.0,-1.0,-1.0,Negative,test
video_0009,0029,哪个王八蛋，敢动老子地盘？,-1.0,-1.0,-1.0,-1.0,Negative,train
video_0009,0030,那妾身现在就召人准备茶,0.2,0.0,0.4,1.0,Positive,valid
video_0009,0031,你怎么能在陛下面前如此失礼？,-1.0,-1.0,-1.0,-1.0,Negative,test
video_0009,0032,衙门却草草掩尸结案，衙门不肯秉公办理啊,-1.0,-0.8,-1.0,-1.0,Negative,train
video_0009,0033,儿臣理应为朝政、为父皇分忧。,0.8,0.0,0.0,1.0,Positive,train
video_0009,0034,我也是没有办法才把他带到这里来的。,-1.0,-0.8,-1.0,-1.0,Negative,train
video_0009,0035,到底是谁给朕唱的这一出好戏？,-1.0,-0.6,-0.8,-0.6,Negative,train
video_0009,0036,确实很可疑，那此事更要继续查。,-0.4,-0.8,-0.4,-0.8,Negative,train
video_0009,0037,我到现在都没找到一个合适的人选。,-0.8,-0.2,-0.2,-0.6,Negative,test
video_0009,0038,赵士玄是你娘家人，让他协理也是理所应当的,0.8,0.4,0.0,1.0,Positive,valid
video_0009,0039,高震如此行事，必有猫腻,-1.0,-0.8,-0.8,-1.0,Negative,train
video_0009,0040,高震这个混账王八蛋就一定大事化小，小事化了了。,-1.0,-1.0,-1.0,-1.0,Negative,train
video_0009,0041,你让我唱就唱啊。,-0.2,-0.8,-1.0,-0.4,Negative,train
video_0009,0042,我只会唱这一首。,-0.2,0.0,-0.8,-0.2,Negative,train
video_0010,0001,我爸你还不知道，他就那样，对不对,-0.8,-0.6,0.2,-1.0,Negative,test
video_0010,0002,他比较自私，你知道吧，我妈，我妈不是以为你走了吗？,-0.8,-0.8,0.2,-1.0,Negative,valid
video_0010,0003,我是说磊儿县城来的，对北京不了解啊，我怕他在学校闹什么笑话你们同学到时候笑他,-0.2,-0.8,-0.6,-0.8,Negative,train
video_0010,0004,才好了一天又不回家了，也不跟他们说一声，让咱们在家里干着急，你看。,-1.0,-1.0,-1.0,-1.0,Negative,train
video_0010,0005,方一凡俩人还聊的欢声笑语的，行，哥儿俩处的不错，挺好。,1.0,1.0,0.8,0.6,Positive,valid
video_0010,0006,我怕磊儿自卑，又到了一个陌生的环境，还要看别人脸色。,-0.4,-0.8,-0.6,-0.8,Negative,train
video_0010,0007,这个混小子，让他别回来了，就住他舅舅的车场里，这个家呀容不下他。,-1.0,-1.0,-1.0,-1.0,Negative,test
video_0010,0008,我一定不辜负你的期望，好好学习，好好努力，要考一个好的大学。,0.6,1.0,0.0,0.4,Positive,train
video_0010,0009,"妈妈，其实我，我,我想你了。",0.2,0.4,-1.0,0.6,Positive,train
video_0010,0010,这不是早上起来头脑清楚嘛，我就跑了个步，再做个听力。,0.0,0.6,0.4,0.2,Neutral,train
video_0010,0011,年轻的时候，我就是想先把业立起来，踏踏实实地为老百姓做点事。,0.0,0.6,0.0,-1.0,Neutral,train
video_0010,0012,哎，我跟你说那就是陈奇怪太弱了。,-0.8,-0.6,0.2,-0.6,Negative,train
video_0010,0013,林磊儿，我表弟，学霸一枚,1.0,1.0,1.0,0.0,Positive,train
video_0010,0014,我希望你们都提起精神来给我好好考。,0.4,0.6,-0.4,-0.8,Positive,train
video_0010,0015,50分一下就没了，你好歹写俩字啊,-1.0,-1.0,-1.0,-1.0,Negative,valid
video_0010,0016,我们想接触接触洋洋的兴趣爱好，以后也好跟他沟通。,0.4,0.4,0.0,-0.4,Positive,train
video_0010,0017,我觉得这个想法不错，提议也不赖。,0.8,1.0,1.0,0.8,Positive,train
video_0010,0018,我哪点搞不定了？她胡说什么呢？,-1.0,-1.0,-1.0,-1.0,Negative,valid
video_0010,0019,没本事的人才这么干呢。,-1.0,-0.8,-1.0,-1.0,Negative,train
video_0010,0020,无不无聊啊，你先保护好你自己吧。,-1.0,-1.0,-0.6,-1.0,Negative,train
video_0010,0021,你们这里有一大半的人都考不上一本。,-1.0,-0.6,-1.0,-1.0,Negative,train
video_0010,0022,同学们在这，有同学们陪我，我肯定不走。,0.8,0.4,0.4,1.0,Positive,train
video_0010,0023,我吧，以前也是这个春风中学的老师。,0.0,0.0,0.2,0.4,Neutral,test
video_0010,0024,真的，你看你这个流氓样子。,0.6,-1.0,0.2,1.0,Positive,train
video_0010,0025,能有毒吗，我能害我自己闺女吗,-1.0,-0.8,-1.0,-1.0,Negative,train
video_0010,0026,脸都不要了，还要什么面子,-1.0,-1.0,-1.0,1.0,Negative,train
video_0010,0027,你俩是没决裂哈，还挺亲密，像两口子似的,0.8,0.8,0.8,0.6,Positive,test
video_0010,0028,周末有时间再来细说，成不成，我们明天还要考英语和理综呢,-1.0,-0.6,-0.4,-1.0,Negative,train
video_0010,0029,亲爱的，怎么跟外星人似的,0.6,0.0,0.8,1.0,Positive,train
video_0010,0030,你也是闲的，还老跟人提问题，你说这女的不神经病吗？,-1.0,-1.0,-1.0,-0.6,Negative,test
video_0010,0031,你以后别再给他买这些了，他都高三了，多耽误学习。,-1.0,-0.8,-1.0,-1.0,Negative,valid
video_0010,0032,而且姐夫今天特意给我打一电话呢，说想了解一下杨杨的兴趣爱好。,0.4,0.4,0.0,0.2,Positive,test
video_0010,0033,晚上要加一个晚自习，答答疑，明天还有一天呢。,0.0,0.0,0.0,-0.2,Neutral,train
video_0010,0034,感情您这是带着筹码跟我谈判呢。,-1.0,-1.0,-0.8,-0.2,Negative,train
video_0010,0035,季胜利的儿子绝不允许进慢班。,-1.0,-0.6,-0.6,-0.4,Negative,train
video_0010,0036,你看他发挥多稳定啊，说明他心理素质特别好。,1.0,0.8,1.0,0.6,Positive,test
video_0010,0037,你们家磊儿真是学霸呀。,1.0,1.0,1.0,0.6,Positive,test
video_0010,0038,你妈说来磊儿来了影响方一凡学习。,-0.8,-0.6,-1.0,-0.2,Negative,test
video_0011,0001,不全是因为她身孕的缘故，她是难得的稳重。,0.6,1.0,0.4,0.2,Positive,train
video_0011,0002,是吗？那可太好了。,1.0,1.0,1.0,1.0,Positive,train
video_0011,0003,是正事，华妃失势难免不会东山再起。,0.2,-0.6,-0.2,0.6,Positive,train
video_0011,0004,皇上怕是也没心情见二位小主了。,-0.8,-0.6,-0.6,-0.6,Negative,test
video_0011,0005,儿臣与莞娘娘有缘。,1.0,0.8,0.6,1.0,Positive,train
video_0011,0006,从前小看了那个病歪歪的甄嬛，以后走着瞧吧,-1.0,-1.0,-1.0,-1.0,Negative,train
video_0011,0007,与其心生敬佩，不如自己便是那样的人。,0.8,0.6,0.2,1.0,Positive,valid
video_0011,0008,会疼人的才是男子汉呢,0.8,0.6,0.4,1.0,Positive,train
video_0011,0009,我倒盼着是个公主，和温宜一样的可爱呢,1.0,1.0,1.0,1.0,Positive,train
video_0011,0010,怎能送她这么贵重的东西。,-0.6,-0.6,-0.8,-0.2,Negative,test
video_0011,0011,今日之事一个人都不许说起，否则，我死无葬身之地,-0.8,-1.0,-0.8,-1.0,Negative,test
video_0011,0012,娘娘盛情，嫔妾自当从命,1.0,0.6,0.4,1.0,Positive,test
video_0011,0013,那日竟然难产而死，只留下四阿哥,-1.0,-0.8,-0.4,-1.0,Negative,train
video_0011,0014,你随便一舞即可,0.0,0.0,0.0,0.0,Neutral,train
video_0011,0015,不能得见故皇后之舞姿是臣妾之憾。,-1.0,-1.0,-1.0,-1.0,Negative,valid
video_0011,0016,梅妃含情所著的楼东赋没有能使她再度得幸于唐玄宗，倒是华妃娘娘感动了皇上。,0.8,0.2,0.0,1.0,Positive,valid
video_0011,0017,我是怕这日子又要难过了。,-1.0,-1.0,-1.0,-1.0,Negative,test
video_0011,0018,叫我怎么甘心呢,-1.0,-1.0,-1.0,-1.0,Negative,valid
video_0011,0019,端亲王有倨傲的本钱。,0.4,0.4,0.0,0.0,Positive,train
video_0011,0020,身为皇后，永远都不能有说厌烦的时候。,-0.4,0.2,-0.2,-0.8,Negative,test
video_0011,0021,娘娘正当盛时，肯定还能再添一位阿哥,1.0,1.0,0.6,1.0,Positive,test
video_0011,0022,弘晖死的时候，外面也是这样的雨天,-1.0,-0.8,-1.0,-1.0,Negative,train
video_0011,0023,孩子长得快，一会就长大了。,1.0,0.8,1.0,1.0,Positive,valid
video_0011,0024,我父亲下狱了,-1.0,-0.8,-1.0,-1.0,Negative,train
video_0011,0025,好端端的，怎么会出这样的事呢？,-1.0,-0.8,-1.0,-1.0,Negative,test
video_0011,0026,怎么，贵人您是为了安答应的父亲求情来了。,-0.2,0.0,-0.2,-1.0,Negative,test
video_0011,0027,您没看见皇上方才为这事发多大的脾气呢,-0.8,-0.8,-0.8,-1.0,Negative,test
video_0011,0028,一去不知何时才能回来，要不先到偏殿等候吧。,0.2,-0.4,0.0,1.0,Positive,valid
video_0011,0029,娘娘如此关怀，臣妾感同身受。,1.0,0.6,0.2,0.4,Positive,train
video_0011,0030,想必是与皇后反其道而行之，想让皇上从严处置安比槐吧,0.0,-0.4,0.0,0.0,Neutral,valid
video_0011,0031,再亲自去向娘娘道谢吧,1.0,0.4,0.4,0.6,Positive,valid
video_0011,0032,小主，浣碧不是有意的。,-1.0,-0.8,-1.0,-1.0,Negative,train
video_0011,0033,天气炎热，公主吃不下，难免瘦了些。,0.0,-0.6,0.4,0.8,Neutral,train
video_0011,0034,这法子真是巧，皇上真真是有心了。,1.0,1.0,1.0,1.0,Positive,train
video_0011,0035,不小心说与了旁人听，而说者无心，听者有意。,-0.2,-0.4,-0.4,-1.0,Negative,train
video_0012,0001,馆陶真棒,1.0,1.0,1.0,1.0,Positive,train
video_0012,0002,娘娘，你要的药熬好了,0.0,0.0,-0.2,-0.2,Neutral,train
video_0012,0003,带弟弟去午睡，母后要做事了,0.6,0.0,0.4,1.0,Positive,train
video_0012,0004,本宫也算死得其所，求仁得仁,-0.6,-0.2,-0.8,-1.0,Negative,train
video_0012,0005,娘娘，不要,-1.0,-0.8,-1.0,-1.0,Negative,train
video_0012,0006,为什么没有人禀报,-1.0,-0.2,-1.0,-1.0,Negative,train
video_0012,0007,赶巧了，这大事就发生了,-1.0,-0.4,-0.2,-1.0,Negative,valid
